ns,title,pageid,size,wordcount,snippet,timestamp
0,Travel,155747,14805,1415,"<span class=""searchmatch"">Travel</span> is the movement of people between distant geographical locations. <span class=""searchmatch"">Travel</span> can be done by foot, bicycle, automobile, train, boat, bus, airplane,",2022-06-29T08:26:13Z
0,.travel,1112529,3180,246,"The domain name .<span class=""searchmatch"">travel</span> is a top-level domain in the Domain Name System of the Internet. .<span class=""searchmatch"">travel</span> domain names are available to individuals and / or organizations",2022-03-19T10:18:25Z
0,Time travel,31591,67239,7794,"Time <span class=""searchmatch"">travel</span> is the concept of movement between certain points in time, analogous to movement between different points in space by an object or a person",2022-08-08T22:54:58Z
0,Travel literature,1393859,42620,4837,"The genre of <span class=""searchmatch"">travel</span> literature encompasses outdoor literature, guide books, nature writing, and <span class=""searchmatch"">travel</span> memoirs. One early <span class=""searchmatch"">travel</span> memoirist in Western",2022-08-03T15:50:24Z
0,Travel agency,597759,25857,2430,"A <span class=""searchmatch"">travel</span> agency is a private retailer or public service that provides <span class=""searchmatch"">travel</span> and tourism-related services to the general public on behalf of accommodation",2022-07-08T16:21:31Z
0,Travel visa,330265,113173,14060,"takes the form of a sticker endorsed in the applicant's passport or other <span class=""searchmatch"">travel</span> document but may also exist electronically. Some countries no longer issue",2022-08-09T08:01:43Z
0,Interstellar travel,14843,85819,9371,"Interstellar <span class=""searchmatch"">travel</span> refers to the idea of interstellar probes or crewed spacecraft moving between stars or planetary systems in a galaxy. Interstellar <span class=""searchmatch"">travel</span> would",2022-07-21T05:48:02Z
0,Travel website,10442845,4955,588,"A <span class=""searchmatch"">travel</span> website is a website that provides <span class=""searchmatch"">travel</span> reviews, trip fares, or a combination of both. Over 1.5 billion people book <span class=""searchmatch"">travel</span> per year, 70% of",2022-05-15T15:01:20Z
0,Travel + Leisure,4535622,7056,549,"<span class=""searchmatch"">Travel</span> + Leisure is a <span class=""searchmatch"">travel</span> magazine based in New York City, New York. Published 12 times a year, it has 4.8 million readers, according to its corporate",2022-08-07T14:15:24Z
0,Travel Man,49521959,32149,398,"<span class=""searchmatch"">Travel</span> Man is a British television <span class=""searchmatch"">travel</span> documentary series, presented by Richard Ayoade and Joe Lycett, and produced by North One Television for Channel",2022-06-19T00:10:18Z
0,Narendra Modi,444222,310028,25369,"Narendra Damodardas <span class=""searchmatch"">Modi</span> (Gujarati: [ˈnəɾendɾə dɑmodəɾˈdɑs <span class=""searchmatch"">ˈmodiː</span>] (listen); born 17 September 1950) is an Indian politician serving as the 14th and current",2022-08-06T17:39:41Z
0,Jashodaben Modi,44467686,35654,3659,"Jashodaben <span class=""searchmatch"">Modi</span> (née Jashodaben Chimanlal <span class=""searchmatch"">Modi</span>; born 1951) is a retired Indian school teacher. She is the estranged wife of Narendra <span class=""searchmatch"">Modi</span>, the prime minister",2022-08-10T00:10:17Z
0,Lalit Modi,15938793,52195,5739,"Lalit <span class=""searchmatch"">Modi</span> (born 29 November 1963) is an Indian businessman and former cricket administrator. He was the founder, first chairman and Commissioner of the",2022-08-05T20:41:26Z
0,Nirav Modi,51543469,34194,3033,"Nirav Deepak <span class=""searchmatch"">Modi</span> (born 27 February 1971) is an Indian businessman and fugitive who was charged by Interpol and the government of India for criminal conspiracy",2022-08-07T22:17:10Z
0,Microsoft Office shared tools,32804579,24036,2868,"TIFF files. MODS and <span class=""searchmatch"">MODI</span> are no longer available since Office 2010, although Microsoft recommends a workaround by installing the <span class=""searchmatch"">MODI</span> component from SharePoint",2022-06-29T05:57:27Z
