pageid,ns,title,index
66873014,0,13th BRICS summit,195
40624869,0,16th Lok Sabha,101
57977015,0,17th Lok Sabha,154
44246058,0,18th SAARC summit,124
37985107,0,2002 Gujarat Legislative Assembly election,73
6356686,0,2002 Gujarat riots,80
37985065,0,2007 Gujarat Legislative Assembly election,164
23561152,0,2009 Gujarat alcohol poisonings,488
37203762,0,2012 Gujarat Legislative Assembly election,144
40902629,0,2013 Patna bombings,142
17349356,0,2014 Indian general election,14
44336081,0,2015 Delhi Legislative Assembly election,396
52224033,0,2016 Indian banknote demonetisation,362
48946392,0,2016 South Asian Games,407
50396633,0,2017 Uttar Pradesh Legislative Assembly election,244
42784744,0,2019 Indian general election,39
65510299,0,2020 Indian agriculture acts,130
65701455,0,2020–2021 Indian farmers' protest,201
63914196,0,2020–2022 China–India skirmishes,293
67229721,0,2021 Bangladesh anti-Modi protests,273
68177770,0,2021 Indian cabinet reshuffle,294
66239966,0,2021 in India,486
71266768,0,2022 National Games of India,148
69486245,0,2022 Union budget of India,326
69601556,0,2022 in India,106
69291052,0,2024 elections in India,478
63724811,0,2036 Summer Olympics,444
49608657,0,3rd Narmada Bridge,327
63109124,0,44th Chess Olympiad,34
62889293,0,47th G7 summit,368
39925934,0,6th BRICS summit,355
547114,0,"7, Lok Kalyan Marg",43
68076667,0,A. K. Sharma,55
7121697,0,A. P. Abdullakutty,397
62682,0,A. P. J. Abdul Kalam,279
23384503,0,Aadhaar,366
69673103,0,Aakar Patel,194
43705809,0,Achhe din aane waale hain,438
53333348,0,Adiyogi Shiva statue,64
17759586,0,Afghanistan–India relations,115
62143174,0,Afroz Shah,236
34545004,0,Agneepath,185
71036858,0,Agnipath Scheme,97
48709336,0,Agra Metro,340
39682771,0,Ahmed Bukhari,378
206337,0,Ahmedabad,158
23430818,0,Ahmedabad Metro,437
42782417,0,Ajay Mishra Teni,381
42263522,0,Ajay Rai,337
797649,0,Ajit Doval,341
66390209,0,"All India Institute of Medical Sciences, Rajkot",481
61795854,0,All India Institutes of Medical Sciences,267
45348469,0,Amaravati,203
51335,0,Amartya Sen,447
40696676,0,Amit Khare,259
28165549,0,Amit Shah,21
316726,0,Amul,477
36733470,0,Anand Teltumbde,384
28880170,0,Anandiben Patel,286
47898,0,Andaman and Nicobar Islands,271
4119832,0,Anna Hazare,200
60808704,0,Annpurna Devi,352
442949,0,Anupam Kher,455
36218001,0,Anupriya Patel,272
18063617,0,Anurag Thakur,276
34954244,0,Appointments Committee of the Cabinet,169
1598220,0,Arjun Munda,432
16255445,0,Arnab Goswami,213
444585,0,Arun Jaitley,111
178710,0,Arunachal Pradesh,351
178759,0,Arundhati Roy,84
6208502,0,Arvind Kejriwal,415
5945870,0,Asaram,238
5775373,0,Ashis Nandy,45
46589733,0,Ashish Sharma,224
61165139,0,Ashwini Vaishnaw,37
43951345,0,Asian foreign policy of the Narendra Modi government,180
45367238,0,Asit Kumarr Modi,36
62675596,0,Atal Bhujal Yojana,315
101730,0,Atal Bihari Vajpayee,145
46661619,0,Atal Pension Yojana,367
23637621,0,Atal Tunnel,66
64149715,0,Atmanirbhar Bharat,191
23030741,0,Australia–India relations,461
57150286,0,Ayushman Bharat Yojana,116
32079419,0,BRICS,61
14225367,0,Babul Supriyo,256
47300576,0,Banas Dairy,394
